event_id,ip,http_method,requested_url,http_version,response_status,timestamp
57,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-03 15:24:54
58,127.0.0.1,POST,http://localhost:8088/search,HTTP/1.1,200,2024-12-03 15:25:04
59,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-03 15:25:04
60,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-03 15:25:04
61,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 15:25:04
62,127.0.0.1,POST,http://localhost:8088/search,HTTP/1.1,200,2024-12-03 16:00:27
63,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 16:00:27
64,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-03 16:00:27
65,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-03 16:00:27
66,127.0.0.1,GET,http://localhost:8088/hello,HTTP/1.1,404,2024-12-03 16:00:34
67,127.0.0.1,GET,http://localhost:8088/hello,HTTP/1.1,404,2024-12-03 16:01:07
68,127.0.0.1,POST,http://localhost:8088/search,HTTP/1.1,200,2024-12-03 16:13:26
69,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 16:13:26
70,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-03 16:13:26
71,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-03 16:13:26
72,127.0.0.1,POST,http://localhost:8088/search,HTTP/1.1,200,2024-12-03 16:14:30
73,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 16:14:30
74,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-03 16:14:30
75,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-03 16:14:30
76,127.0.0.1,POST,http://localhost:8088/search,HTTP/1.1,200,2024-12-03 16:15:16
77,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-03 16:15:16
78,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 16:15:16
79,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-03 16:15:16
80,127.0.0.1,POST,http://localhost:8088/search,HTTP/1.1,200,2024-12-03 16:15:58
81,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-03 16:15:58
82,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 16:15:58
83,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-03 16:15:58
84,127.0.0.1,POST,http://localhost:8088/search,HTTP/1.1,200,2024-12-03 16:16:03
85,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 16:16:03
86,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-03 16:16:03
87,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-03 16:16:03
88,127.0.0.1,GET,http://localhost:8088/search,HTTP/1.1,405,2024-12-03 16:26:01
89,127.0.0.1,GET,http://localhost:8088/,HTTP/1.1,200,2024-12-03 16:26:02
90,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 16:26:02
91,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-03 16:26:02
92,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-03 16:26:02
93,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 16:26:02
94,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-03 16:26:02
95,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-03 16:26:02
96,127.0.0.1,GET,http://localhost:8088/,HTTP/1.1,200,2024-12-03 16:26:54
97,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-03 16:26:54
98,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 16:26:54
99,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-03 16:26:54
100,127.0.0.1,POST,http://localhost:8088/search,HTTP/1.1,200,2024-12-03 16:27:04
101,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 16:27:04
102,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-03 16:27:04
103,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-03 16:27:04
104,127.0.0.1,POST,http://localhost:8088/search,HTTP/1.1,200,2024-12-03 16:27:23
105,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-03 16:27:23
106,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-03 16:27:23
107,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-03 16:27:23
108,10.80.136.213,GET,http://10.80.136.213:8088/,HTTP/1.1,200,2024-12-03 16:29:14
109,10.80.136.213,GET,http://10.80.136.213:8088/static/styles/bootstrap.min.css,HTTP/1.1,200,2024-12-03 16:29:14
110,10.80.136.213,GET,http://10.80.136.213:8088/static/styles/custom.css,HTTP/1.1,200,2024-12-03 16:29:14
111,10.80.136.213,GET,http://10.80.136.213:8088/static/logo.png,HTTP/1.1,200,2024-12-03 16:29:14
